nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
         1,-1.000000000E+01,-2.000000000E+01, 8.978414305E+00, 2.200000000E+01, 0.000000000E+00
         2,-8.275861740E+00,-2.000000000E+01, 8.618515450E+00, 2.201909598E+01, 0.000000000E+00
         3,-6.551723957E+00,-2.000000000E+01, 7.755515739E+00, 2.205518753E+01, 0.000000000E+00
         4,-4.827586174E+00,-2.000000000E+01, 6.249009187E+00, 2.212539154E+01, 0.000000000E+00
         5,-3.103448391E+00,-2.000000000E+01, 4.460677165E+00, 2.221093115E+01, 0.000000000E+00
         6,-1.379310369E+00,-2.000000000E+01, 2.249789013E+00, 2.230710381E+01, 0.000000000E+00
         7, 3.448275924E-01,-2.000000000E+01, 5.340484945E-02, 2.241232536E+01, 0.000000000E+00
         8, 2.068965435E+00,-2.000000000E+01,-2.209769424E+00, 2.251635254E+01, 0.000000000E+00
         9, 3.793103456E+00,-2.000000000E+01,-4.237632522E+00, 2.260799658E+01, 0.000000000E+00
        10, 5.517241478E+00,-2.000000000E+01,-5.911257246E+00, 2.268305817E+01, 0.000000000E+00
        11, 7.241379261E+00,-2.000000000E+01,-7.151216811E+00, 2.274380266E+01, 0.000000000E+00
        12, 8.965517044E+00,-2.000000000E+01,-8.008373324E+00, 2.279056166E+01, 0.000000000E+00
        13, 1.068965530E+01,-2.000000000E+01,-8.549515291E+00, 2.281751607E+01, 0.000000000E+00
        14, 1.241379356E+01,-2.000000000E+01,-8.765185163E+00, 2.283217289E+01, 0.000000000E+00
        15, 1.413793087E+01,-2.000000000E+01,-8.684091536E+00, 2.283462428E+01, 0.000000000E+00
        16, 1.586206913E+01,-2.000000000E+01,-8.372838437E+00, 2.282542326E+01, 0.000000000E+00
        17, 1.758620644E+01,-2.000000000E+01,-7.916400458E+00, 2.281485148E+01, 0.000000000E+00
        18, 1.931034470E+01,-2.000000000E+01,-7.332579155E+00, 2.279800171E+01, 0.000000000E+00
        19, 2.103448296E+01,-2.000000000E+01,-6.714341755E+00, 2.277997662E+01, 0.000000000E+00
        20, 2.275862122E+01,-2.000000000E+01,-6.079844345E+00, 2.275980442E+01, 0.000000000E+00
        21, 2.448275948E+01,-2.000000000E+01,-5.402630757E+00, 2.273908037E+01, 0.000000000E+00
        22, 2.620689583E+01,-2.000000000E+01,-4.721288942E+00, 2.272135146E+01, 0.000000000E+00
        23, 2.793103409E+01,-2.000000000E+01,-4.122553646E+00, 2.270753610E+01, 0.000000000E+00
        24, 2.965517235E+01,-2.000000000E+01,-3.435794548E+00, 2.269394109E+01, 0.000000000E+00
        25, 3.137931061E+01,-2.000000000E+01,-2.808240431E+00, 2.267692032E+01, 0.000000000E+00
        26, 3.310344696E+01,-2.000000000E+01,-2.285577495E+00, 2.266459225E+01, 0.000000000E+00
        27, 3.482758713E+01,-2.000000000E+01,-1.660560897E+00, 2.265308180E+01, 0.000000000E+00
        28, 3.655172348E+01,-2.000000000E+01,-1.115807299E+00, 2.264201236E+01, 0.000000000E+00
        29, 3.827586365E+01,-2.000000000E+01,-5.917965172E-01, 2.263238669E+01, 0.000000000E+00
        30, 4.000000000E+01,-2.000000000E+01,-1.504563037E-01, 2.262653715E+01, 0.000000000E+00
        31, 2.688087654E+01,-1.912092590E+01,-4.466159272E+00, 2.272084140E+01, 8.715831567E-03
        32, 2.570874596E+01,-1.911762238E+01,-4.898374971E+00, 2.273234676E+01, 9.046388366E-03
        33, 1.065971851E+01,-1.905763054E+01,-8.653076090E+00, 2.282682164E+01,-1.124980062E-02
        34, 3.223234940E+01,-1.902348328E+01,-2.530218428E+00, 2.267638392E+01, 7.488159588E-03
        35, 3.632635117E+01,-1.898240852E+01,-1.183547367E+00, 2.264911766E+01, 6.755954408E-03
        36,-8.439105034E+00,-1.896893883E+01, 8.860697504E+00, 2.201563707E+01,-1.553092686E-02
        37, 1.504807377E+01,-1.896084785E+01,-8.575734785E+00, 2.283952144E+01, 4.203246163E-03
        38, 6.240347862E+00,-1.892391968E+01,-6.597812416E+00, 2.272471584E+01,-3.927803921E-02
        39,-5.172211528E-01,-1.886991882E+01, 1.121448822E+00, 2.237237497E+01,-7.058212215E-02
        40, 2.344727135E+01,-1.886930466E+01,-5.827021820E+00, 2.276126144E+01, 1.193922756E-02
        41,-3.581001759E+00,-1.882642365E+01, 5.104853329E+00, 2.219321263E+01,-6.231571280E-02
        42, 1.655527496E+01,-1.881643867E+01,-8.237615108E+00, 2.283371177E+01, 8.083158211E-03
        43, 4.681884766E+00,-1.873410606E+01,-5.266355465E+00, 2.266516915E+01,-5.736862491E-02
        44, 3.091585732E+01,-1.869906235E+01,-2.968313224E+00, 2.269123490E+01, 1.028029142E-02
        45, 1.824869728E+01,-1.866976166E+01,-7.732235439E+00, 2.282264135E+01, 1.208995492E-02
        46, 3.888160324E+01,-1.861947632E+01,-3.669332279E-01, 2.263804479E+01, 6.158732411E-03
        47, 2.963801861E+00,-1.861654663E+01,-3.408924079E+00, 2.258162597E+01,-7.362500438E-02
        48, 3.353791046E+01,-1.860749054E+01,-2.107345641E+00, 2.267354097E+01, 9.789887365E-03
        49, 1.998884201E+01,-1.860685921E+01,-7.131004371E+00, 2.280521814E+01, 1.447905333E-02
        50,-2.065884590E+00,-1.845661926E+01, 3.240097385E+00, 2.228501639E+01,-9.286472059E-02
        51, 2.809185028E+01,-1.844211006E+01,-4.018542176E+00, 2.272019032E+01, 1.425157829E-02
        52, 1.060077071E+00,-1.842178726E+01,-9.909336471E-01, 2.247599858E+01,-9.375870281E-02
        53,-5.929559708E+00,-1.841862106E+01, 7.581556720E+00, 2.208351126E+01,-5.747099895E-02
        54, 2.185309792E+01,-1.841635323E+01,-6.421840539E+00, 2.278756145E+01, 1.765397439E-02
        55, 2.477992058E+01,-1.841446114E+01,-5.278403864E+00, 2.275293357E+01, 1.631117008E-02
        56,-7.270661831E+00,-1.839252853E+01, 8.533190681E+00, 2.203934648E+01,-4.046352928E-02
        57, 9.334493637E+00,-1.837192345E+01,-8.412880786E+00, 2.282101819E+01,-3.088500975E-02
        58, 1.189736176E+01,-1.834807396E+01,-8.924605267E+00, 2.285132766E+01,-1.054561255E-02
        59, 3.491258621E+01,-1.833026505E+01,-1.646360581E+00, 2.266746770E+01, 1.113219988E-02
        60, 1.358120537E+01,-1.832011414E+01,-8.869015291E+00, 2.285789429E+01, 3.155844405E-04
        61, 2.961786652E+01,-1.826012993E+01,-3.444893831E+00, 2.270706756E+01, 1.414843461E-02
        62, 7.685947418E+00,-1.825920105E+01,-7.690596975E+00, 2.278843756E+01,-5.015597226E-02
        63,-1.000000000E+01,-1.814569283E+01, 9.486782999E+00, 2.200000000E+01, 0.000000000E+00
        64, 3.750472260E+01,-1.811868095E+01,-8.058521751E-01, 2.265501696E+01, 1.041680473E-02
        65, 2.631773186E+01,-1.806191635E+01,-4.669268278E+00, 2.274340376E+01, 1.977974842E-02
        66,-4.570134640E+00,-1.802813339E+01, 6.346245409E+00, 2.215063552E+01,-9.480114778E-02
        67, 4.000000000E+01,-1.800000000E+01, 0.000000000E+00, 2.264415635E+01, 1.015400930E-02
        68, 1.532883930E+01,-1.764900589E+01,-8.639680253E+00, 2.286826932E+01, 1.226590702E-02
        69, 3.223038101E+01,-1.763749695E+01,-2.527359026E+00, 2.269926507E+01, 1.796644193E-02
        70,-3.335702181E+00,-1.753531075E+01, 5.028198942E+00, 2.222396775E+01,-1.368471913E-01
        71, 1.060112476E+01,-1.750579643E+01,-8.984376476E+00, 2.286606498E+01,-3.014964460E-02
        72, 5.794167042E+00,-1.749589157E+01,-6.571690971E+00, 2.274881045E+01,-9.819168017E-02
        73,-5.491465330E-01,-1.746159554E+01, 1.141587591E+00, 2.239674446E+01,-1.570487095E-01
        74, 2.345230675E+01,-1.741854668E+01,-5.797563172E+00, 2.278996002E+01, 2.945417566E-02
        75, 1.710820961E+01,-1.739478683E+01,-8.180406453E+00, 2.286250882E+01, 2.121033677E-02
        76, 3.586927414E+01,-1.737919617E+01,-1.329598954E+00, 2.268055125E+01, 1.692023824E-02
        77, 2.050743866E+01,-1.728238678E+01,-6.974035851E+00, 2.282806167E+01, 3.104753902E-02
        78, 2.892562103E+01,-1.723182106E+01,-3.681157392E+00, 2.273660257E+01, 2.458931901E-02
        79, 1.894330597E+01,-1.720048714E+01,-7.565760546E+00, 2.284974474E+01, 2.960441779E-02
        80,-8.535434723E+00,-1.718964386E+01, 9.668295099E+00, 2.201536422E+01,-4.231263567E-02
        81, 4.019903183E+00,-1.718399429E+01,-4.970336679E+00, 2.268234217E+01,-1.381909641E-01
        82, 2.281647682E+00,-1.710684776E+01,-2.832660542E+00, 2.258792220E+01,-1.648535537E-01
        83,-6.843723774E+00,-1.706924057E+01, 8.812745237E+00, 2.205842835E+01,-9.001685103E-02
        84,-5.513527870E+00,-1.702182961E+01, 7.696092941E+00, 2.211113913E+01,-1.264815392E-01
        85, 3.862742996E+01,-1.697869873E+01,-4.422776788E-01, 2.267403591E+01, 1.736609272E-02
        86, 3.050083160E+01,-1.692765427E+01,-3.113133840E+00, 2.273235096E+01, 2.470181099E-02
        87, 8.276641369E-01,-1.689760399E+01,-8.745116710E-01, 2.250224092E+01,-1.895978608E-01
        88, 2.517262650E+01,-1.685734367E+01,-5.088986211E+00, 2.278471214E+01, 3.339245689E-02
        89, 1.223096466E+01,-1.685682487E+01,-9.266684639E+00, 2.290483404E+01,-1.367269977E-02
        90, 9.039078712E+00,-1.680150032E+01,-8.827907024E+00, 2.287627977E+01,-6.455256731E-02
        91, 3.392111588E+01,-1.665369987E+01,-1.946577758E+00, 2.271650341E+01, 2.353783360E-02
        92, 2.185999680E+01,-1.649678612E+01,-6.446555695E+00, 2.283825771E+01, 4.098549497E-02
        93,-1.000000000E+01,-1.644530678E+01, 1.053299878E+01, 2.200000000E+01, 0.000000000E+00
        94, 2.727237129E+01,-1.641903305E+01,-4.280107134E+00, 2.278056186E+01, 3.527479323E-02
        95, 3.707867432E+01,-1.635916901E+01,-9.287998244E-01, 2.270380150E+01, 2.227045688E-02
        96, 1.401509190E+01,-1.635777473E+01,-9.196576544E+00, 2.292860356E+01, 7.415347460E-03
        97,-2.165568352E+00,-1.626587486E+01, 3.686558594E+00, 2.231905288E+01,-2.291138299E-01
        98, 3.204809189E+01,-1.612836456E+01,-2.565823123E+00, 2.274584540E+01, 2.927798689E-02
        99,-4.295921803E+00,-1.609950066E+01, 6.809365392E+00, 2.218458492E+01,-2.040497201E-01
       100, 1.587814426E+01,-1.606014633E+01,-8.772372617E+00, 2.292927041E+01, 2.813987954E-02
       101, 7.089861870E+00,-1.603736115E+01,-8.254380551E+00, 2.287729766E+01,-1.239192731E-01
       102, 2.914363098E+01,-1.603624725E+01,-3.569456813E+00, 2.277488586E+01, 3.528352137E-02
       103, 4.000000000E+01,-1.600000000E+01, 0.000000000E+00, 2.270525176E+01, 2.254443048E-02
       104, 3.549877930E+01,-1.595256233E+01,-1.419236244E+00, 2.272780019E+01, 2.667884857E-02
       105, 1.780315018E+01,-1.585430908E+01,-8.090820652E+00, 2.291675998E+01, 4.123460042E-02
